+------------------+------------+-----------+----------------------+-------------------------+---------------------+
| department_name  | shift_date | slot      | staff_type           | subtype                 | number_of_personnel |
+------------------+------------+-----------+----------------------+-------------------------+---------------------+
| Anesthesiology   | 2026-05-18 | afternoon | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-18 | afternoon | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-18 | afternoon | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-18 | morning   | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-18 | morning   | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-18 | morning   | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-18 | morning   | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-18 | morning   | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-18 | night     | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-18 | night     | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-18 | night     | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-18 | night     | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-18 | night     | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-19 | afternoon | administrative staff | Accountant              |                   1 |
| Anesthesiology   | 2026-05-19 | afternoon | administrative staff | Administrative Director |                   1 |
| Anesthesiology   | 2026-05-19 | afternoon | doctor               | Anesthesiology          |                   2 |
| Anesthesiology   | 2026-05-19 | afternoon | doctor               | Endocrinology           |                   1 |
| Anesthesiology   | 2026-05-19 | afternoon | nurse                | nurse                   |                   6 |
| Anesthesiology   | 2026-05-19 | morning   | administrative staff | Inventory Manager       |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | administrative staff | Procurement Officer     |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | doctor               | Anesthesiology          |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | doctor               | Neurosurgeon            |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | doctor               | Oncology                |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | nurse                | head nurse              |                   1 |
| Anesthesiology   | 2026-05-19 | morning   | nurse                | nurse                   |                   3 |
| Anesthesiology   | 2026-05-19 | morning   | nurse                | nursing assistant       |                   2 |
| Anesthesiology   | 2026-05-19 | night     | administrative staff | Inventory Manager       |                   1 |
