+-----------+-------------+------------+--------------+------+
| start_doc | current_doc | supervisor | doctor_ranks | lvl  |
+-----------+-------------+------------+--------------+------+
|         1 |           1 |       NULL | Director     |    0 |
|         2 |           2 |       NULL | Director     |    0 |
|         3 |           3 |       NULL | Director     |    0 |
|         4 |           4 |       NULL | Director     |    0 |
|         5 |           5 |       NULL | Director     |    0 |
|         6 |           6 |       NULL | Director     |    0 |
|         7 |           7 |       NULL | Director     |    0 |
|         8 |           8 |       NULL | Director     |    0 |
|         9 |           9 |       NULL | Director     |    0 |
|        10 |          10 |       NULL | Director     |    0 |
|        11 |          11 |       NULL | Director     |    0 |
|        12 |          12 |       NULL | Director     |    0 |
|        13 |          13 |       NULL | Director     |    0 |
|        14 |          14 |       NULL | Director     |    0 |
|        15 |          15 |       NULL | Director     |    0 |
|        16 |          16 |          1 | Attending A  |    0 |
|        16 |           1 |       NULL | Director     |    1 |
|        17 |          17 |          2 | Attending A  |    0 |
|        17 |           2 |       NULL | Director     |    1 |
|        18 |          18 |          3 | Attending A  |    0 |
|        18 |           3 |       NULL | Director     |    1 |
|        19 |          19 |          4 | Attending A  |    0 |
|        19 |           4 |       NULL | Director     |    1 |
|        20 |          20 |          5 | Attending A  |    0 |
|        20 |           5 |       NULL | Director     |    1 |
|        21 |          21 |          6 | Attending A  |    0 |
|        21 |           6 |       NULL | Director     |    1 |
|        22 |          22 |          7 | Attending A  |    0 |
|        22 |           7 |       NULL | Director     |    1 |
|        23 |          23 |          8 | Attending A  |    0 |
|        23 |           8 |       NULL | Director     |    1 |
|        24 |          24 |          9 | Attending A  |    0 |
|        24 |           9 |       NULL | Director     |    1 |
|        25 |          25 |         10 | Attending A  |    0 |
|        25 |          10 |       NULL | Director     |    1 |
|        26 |          26 |         11 | Attending A  |    0 |
|        26 |          11 |       NULL | Director     |    1 |
|        27 |          27 |         12 | Attending A  |    0 |
|        27 |          12 |       NULL | Director     |    1 |
|        28 |          28 |         13 | Attending A  |    0 |
|        28 |          13 |       NULL | Director     |    1 |
|        29 |          29 |         14 | Attending A  |    0 |
|        29 |          14 |       NULL | Director     |    1 |
|        30 |          30 |         15 | Attending A  |    0 |
