+---------------+-----------------+----------------------+------------------+----------------+
| urgency_level | number_of_cases | admission_percentage | department_name  | dept_referrals |
+---------------+-----------------+----------------------+------------------+----------------+
|             1 |           12216 |             99.05861 | Gastroenterology |            820 |
|             1 |           12216 |             99.05861 | Cardiology       |            818 |
|             1 |           12216 |             99.05861 | Emergency        |            818 |
|             1 |           12216 |             99.05861 | Endocrinology    |            817 |
|             1 |           12216 |             99.05861 | Psychiatry       |            814 |
|             1 |           12216 |             99.05861 | Dermatology      |            811 |
|             1 |           12216 |             99.05861 | Anesthesiology   |            804 |
|             1 |           12216 |             99.05861 | Orthopedics      |            804 |
|             1 |           12216 |             99.05861 | Pediatrics       |            803 |
|             1 |           12216 |             99.05861 | Gynecology       |            800 |
|             1 |           12216 |             99.05861 | Neurology        |            800 |
|             1 |           12216 |             99.05861 | Neurosurgery     |            800 |
|             1 |           12216 |             99.05861 | Oncology         |            800 |
|             1 |           12216 |             99.05861 | Pulmonology      |            796 |
|             1 |           12216 |             99.05861 | Radiology        |            796 |
|             1 |           12216 |             99.05861 | Not Admitted     |            115 |
|             2 |           12262 |             99.44544 | Emergency        |            836 |
|             2 |           12262 |             99.44544 | Endocrinology    |            835 |
|             2 |           12262 |             99.44544 | Gastroenterology |            828 |
|             2 |           12262 |             99.44544 | Orthopedics      |            828 |
|             2 |           12262 |             99.44544 | Dermatology      |            821 |
|             2 |           12262 |             99.44544 | Cardiology       |            820 |
|             2 |           12262 |             99.44544 | Psychiatry       |            816 |
|             2 |           12262 |             99.44544 | Pediatrics       |            814 |
|             2 |           12262 |             99.44544 | Anesthesiology   |            804 |
|             2 |           12262 |             99.44544 | Gynecology       |            800 |
|             2 |           12262 |             99.44544 | Neurology        |            800 |
|             2 |           12262 |             99.44544 | Neurosurgery     |            800 |
|             2 |           12262 |             99.44544 | Oncology         |            800 |
|             2 |           12262 |             99.44544 | Pulmonology      |            796 |
|             2 |           12262 |             99.44544 | Radiology        |            796 |
|             2 |           12262 |             99.44544 | Not Admitted     |             68 |
|             3 |           12340 |             99.68395 | Oncology         |            869 |
|             3 |           12340 |             99.68395 | Pulmonology      |            853 |
|             3 |           12340 |             99.68395 | Emergency        |            849 |
|             3 |           12340 |             99.68395 | Gastroenterology |            840 |
|             3 |           12340 |             99.68395 | Gynecology       |            837 |
|             3 |           12340 |             99.68395 | Neurology        |            823 |
|             3 |           12340 |             99.68395 | Orthopedics      |            815 |
|             3 |           12340 |             99.68395 | Endocrinology    |            808 |
|             3 |           12340 |             99.68395 | Cardiology       |            805 |
|             3 |           12340 |             99.68395 | Dermatology      |            805 |
|             3 |           12340 |             99.68395 | Anesthesiology   |            804 |
|             3 |           12340 |             99.68395 | Neurosurgery     |            800 |
|             3 |           12340 |             99.68395 | Psychiatry       |            800 |
|             3 |           12340 |             99.68395 | Pediatrics       |            797 |
|             3 |           12340 |             99.68395 | Radiology        |            796 |
|             3 |           12340 |             99.68395 | Not Admitted     |             39 |
|             4 |           12233 |             99.98365 | Pulmonology      |            856 |
|             4 |           12233 |             99.98365 | Emergency        |            852 |
|             4 |           12233 |             99.98365 | Orthopedics      |            829 |
|             4 |           12233 |             99.98365 | Neurology        |            822 |
|             4 |           12233 |             99.98365 | Cardiology       |            820 |
|             4 |           12233 |             99.98365 | Gastroenterology |            819 |
|             4 |           12233 |             99.98365 | Endocrinology    |            812 |
|             4 |           12233 |             99.98365 | Gynecology       |            808 |
|             4 |           12233 |             99.98365 | Oncology         |            807 |
|             4 |           12233 |             99.98365 | Dermatology      |            805 |
|             4 |           12233 |             99.98365 | Anesthesiology   |            804 |
|             4 |           12233 |             99.98365 | Psychiatry       |            804 |
|             4 |           12233 |             99.98365 | Neurosurgery     |            800 |
|             4 |           12233 |             99.98365 | Pediatrics       |            797 |
|             4 |           12233 |             99.98365 | Radiology        |            796 |
|             4 |           12233 |             99.98365 | Not Admitted     |              2 |
|             5 |           12124 |             99.99175 | Cardiology       |            859 |
|             5 |           12124 |             99.99175 | Neurology        |            851 |
|             5 |           12124 |             99.99175 | Dermatology      |            806 |
|             5 |           12124 |             99.99175 | Emergency        |            806 |
|             5 |           12124 |             99.99175 | Endocrinology    |            805 |
|             5 |           12124 |             99.99175 | Anesthesiology   |            804 |
|             5 |           12124 |             99.99175 | Gynecology       |            802 |
|             5 |           12124 |             99.99175 | Oncology         |            802 |
|             5 |           12124 |             99.99175 | Gastroenterology |            801 |
|             5 |           12124 |             99.99175 | Neurosurgery     |            800 |
|             5 |           12124 |             99.99175 | Pulmonology      |            798 |
|             5 |           12124 |             99.99175 | Orthopedics      |            798 |
|             5 |           12124 |             99.99175 | Pediatrics       |            798 |
|             5 |           12124 |             99.99175 | Psychiatry       |            797 |
|             5 |           12124 |             99.99175 | Radiology        |            796 |
|             5 |           12124 |             99.99175 | Not Admitted     |              1 |
+---------------+-----------------+----------------------+------------------+----------------+
